Dealer Code,Dealer Name,Dealer Type,Lat,Long,Distance,Company,Address,City,Email,Phone,Fax,SMS
DD313,Ring Road Honda ,Showroom & Workshop,28.6806,77.08994,NA,Sugoi Motors pvt ltd,"A-2 Udyog Nagar Indl. Area, Rohtak Road",DELHI,telemktg@rrhonda.com,"01145520000, 01145540000",011- 45540050, SMS Address
DD020,Prime Honda ,Showroom & Workshop,28.64599,77.33332,NA,Capital Cars Pvt. Ltd.," Ansal Plaza, Main Link Road (Opp. Dabur Factory), Vaishali, Ghaziabad, UP - 201012",GHAZIABAD,crmsalesvaishali@primehonda.comcustomercare@primehonda.commail@primehonda.com  ,"7290055379, 7375004989, 01204184200",NA, SMS Address
DD109,Courtesy Honda ,Showroom & Workshop,30.71387,76.80975,NA,Lally Automobiles Pvt. Ltd.,"Plot No. 6., Indl. Area Phase - I",CHANDIGARH,saleschd@lallyautomobiles.netsalesheadchd@lallyautomobiles.net,1723067777,0172-3067700, SMS Address
DD004,Prestige Honda ,Showroom & Workshop,31.2938,75.65388,NA,Lally Motors Ltd.,"Pragpur,G.T.Road",JALANDHAR,salesjal@lallymotors.netripu@lallymotors.net,1813067777,0181-3067700, SMS Address
DD024,Prestige Honda ,Showroom & Workshop,31.60418,74.93701,NA,Lally Motors Ltd.,"G.T ROAD, SULTANWIND",AMRITSAR,salesamr@lallymotors.netripu@lallymotors.net,1833067777,0183-3067770, SMS Address
DD003,Prestige Honda ,Showroom & Workshop,30.8668,75.92564,NA,Lally Motors Ltd.,"DHANDARI KALAN, G.T. ROAD,",LUDHIANA,salesldh@lallymotors.netripu@lallymotors.net,1613067777,0161-3067700, SMS Address
DD016,Pinkcity Honda ,Showroom,26.97256,75.775,NA,Pink City Motors Pvt. Ltd.," C-9, Road no-1, V.K.I. Area, Sikar Road, Jaipur

Rajasthan 302013",JAIPUR,sales@pinkcityhonda.comcustomer_relations@pinkcityhonda.com,"01414100200, 01414100100",0141-2701965, SMS Address
DD011,Sundaram Honda ,Showroom & Workshop,13.05941,80.25997,NA,Sundaram Motors,"180, ANNA ROAD",CHENNAI,shondachn@sundarammotors.comhondachn@sundarammotors.comcrm_shondachn@sundarammotors.com,"04428579404, 04428579405, 04428579406, 04428579407, 04428579408",28579410, SMS Address
DD150,Sundaram Honda ,Showroom & Workshop,11.02079,76.95312,NA,T.V Sundaram Iyengar & Sons,"No 368 369 Mettupalayam Road,Pincode- 641043",COIMBATORE,hondasales.smcbe@sundarammotors.com,4222449303,0422-2431121, SMS Address
DD021,Sundaram Honda ,Showroom & Workshop,17.74169,83.26463,NA,Sundaram Motors,"Manchukonda Gardens,Murali nagar,NH-5, Visakhapatnam- 530007",VISAKHAPATNAM(VIZAG),honsalmgr_viz@sundarammotors.com,"9849120325, 9100750744",0891-2558409, SMS Address
